P1	P2
850300	852177
850300	852181
850300	852566
850300	852585
850300	853033
850300	853085
850300	853146
850300	853149
850300	853150
850300	853279
850300	853379
850300	853543
850300	853707
850300	853886
850300	853939
850300	854130
850300	854359
850300	854538
850300	854670
850300	854978
850300	855176
850300	855623
850300	855669
850300	855752
850300	855969
850300	856112
850300	856131
850300	856399
850300	856606
850301	855661
850302	850454
850302	850581
850302	851329
850302	851330
850302	853608
850302	854018
850302	854368
850302	854745
850302	854914
850302	855991
850303	851441
850303	852171
850303	852190
850303	852348
850303	852683
850303	852847
850303	853100
850303	853751
850303	853899
850303	854162
850303	854653
850303	855428
850303	856484
850304	850551
850304	850688
850304	851530
850304	851548
850304	851632
850304	853682
850304	853714
850304	853780
850304	853860
850304	853956
850304	854116
850304	855957
850304	856488
850305	852709
850305	853198
850305	853570
850305	854439
850305	854909
850305	855003
850305	856817
850306	850508
850306	850513
850306	850585
850306	851440
850306	852326
850306	852457
850306	855051
850306	855561
850306	855570
850306	856236
850306	856418
850306	856478
850307	853466
850309	850750
850309	851485
850309	852428
850309	852814
850309	853864
850309	854542
850309	854833
850309	854916
850309	855015
850309	855245
850309	855648
850309	856464
850310	852931
850312	851021
850312	851542
850312	852586
850312	852709
850312	852864
850312	853243
850312	853522
850312	853536
850312	853582
850312	854718
850312	855036
850312	855196
850312	855306
850312	856817
850313	850550
850313	850563
850313	850686
850313	850774
850313	850779
850313	850868
850313	851111
850313	851310
850313	851346
850313	851369
850313	851413
850313	851446
850313	851525
850313	851628
850313	851701
850313	851803
850313	851907
850313	851934
850313	852001
850313	852125
850313	852324
850313	852399
850313	852493
850313	852540
850313	852681
850313	852763
850313	852837
850313	852963
850313	853036
850313	853093
850313	853095
850313	853114
850313	853313
850313	853406
850313	853543
850313	853563
850313	853584
850313	853597
850313	853673
850313	853755
850313	853770
850313	853816
850313	853886
850313	853899
850313	853900
850313	853962
850313	854073
850313	854097
850313	854130
850313	854414
850313	854542
850313	854670
850313	854710
850313	854745
850313	854893
850313	854966
850313	855030
850313	855037
850313	855097
850313	855104
850313	855142
850313	855282
850313	855315
850313	855348
850313	855623
850313	855626
850313	855754
850313	855866
850313	855959
850313	856001
850313	856006
850313	856135
850313	856262
850313	856366
850313	856397
850313	856456
850313	856591
850313	856605
850313	856737
850313	856778
850313	856829
850313	856898
850314	338
850314	850354
850314	850366
850314	850456
850314	850513
850314	850580
850314	850619
850314	850650
850314	850691
850314	850776
850314	850805
850314	850832
850314	850994
850314	851017
850314	851021
850314	851025
850314	851074
850314	851085
850314	851100
850314	851120
850314	851135
850314	851213
850314	851256
850314	851261
850314	851314
850314	851337
850314	851372
850314	851458
850314	851486
850314	851487
850314	851611
850314	851618
850314	851714
850314	851740
850314	851784
850314	851829
850314	851918
850314	851996
850314	852066
850314	852091
850314	852102
850314	852130
850314	852171
850314	852196
850314	852222
850314	852242
850314	852330
850314	852349
850314	852358
850314	852376
850314	852403
850314	852428
850314	852437
850314	852462
850314	852469
850314	852494
850314	852530
850314	852591
850314	852661
850314	852837
850314	852857
850314	853080
850314	853152
850314	853174
850314	853226
850314	853274
850314	853287
850314	853302
850314	853351
850314	853429
850314	853433
850314	853453
850314	853475
850314	853490
850314	853497
850314	853566
850314	853604
850314	853628
850314	853870
850314	853946
850314	854028
850314	854065
850314	854144
850314	854149
850314	854233
850314	854236
850314	854252
850314	854256
850314	854276
850314	854300
850314	854335
850314	854398
850314	854462
850314	854653
850314	854734
850314	854812
850314	854841
850314	854904
850314	854909
850314	854911
850314	854935
850314	854953
850314	854994
850314	855101
850314	855112
850314	855153
850314	855254
850314	855343
850314	855480
850314	855529
850314	855552
850314	855603
850314	855863
850314	856105
850314	856216
850314	856358
850314	856362
850314	856403
850314	856404
850314	856478
850314	856534
850314	856536
850314	856566
850314	856611
850314	856647
850314	856681
850314	856688
850314	856772
850314	856803
850314	856821
850314	856897
850317	850614
850317	851087
850317	852328
850317	852639
850317	854874
850317	856036
850318	851342
850318	851373
850318	851842
850318	851943
850318	852231
850318	852402
850318	852624
850318	854710
850318	854795
850318	855166
850318	855964
850318	856089
850319	852403
850319	855954
850320	850300
850320	850301
850320	850305
850320	850322
850320	850323
850320	850324
850320	850325
850320	850327
850320	850348
850320	850354
850320	850359
850320	850367
850320	850383
850320	850395
850320	850397
850320	850410
850320	850411
850320	850414
850320	850415
850320	850418
850320	850424
850320	850434
850320	850436
850320	850437
850320	850439
850320	850440
850320	850444
850320	850450
850320	850452
850320	850505
850320	850509
850320	850529
850320	850538
850320	850551
850320	850553
850320	850562
850320	850572
850320	850581
850320	850590
850320	850592
850320	850598
850320	850603
850320	850605
850320	850610
850320	850620
850320	850646
850320	850651
850320	850676
850320	850677
850320	850682
850320	850694
850320	850713
850320	850716
850320	850727
850320	850728
850320	850741
850320	850744
850320	850747
850320	850748
850320	850754
850320	850755
850320	850766
850320	850790
850320	850799
850320	850810
850320	850812
850320	850819
850320	850823
850320	850837
850320	850839
850320	850864
850320	850865
850320	850869
850320	850875
850320	850876
850320	850877
850320	850882
850320	850883
850320	850892
850320	850896
850320	850897
850320	850905
850320	850915
850320	850918
850320	850921
850320	850930
850320	850950
850320	850958
850320	850961
850320	850966
850320	850967
850320	850969
850320	850999
850320	851000
850320	851002
850320	851022
850320	851035
850320	851045
850320	851058
850320	851082
850320	851084
850320	851085
850320	851087
850320	851088
850320	851089
850320	851104
850320	851111
850320	851112
850320	851120
850320	851122
850320	851132
850320	851136
850320	851140
850320	851159
850320	851162
850320	851164
850320	851168
850320	851169
850320	851171
850320	851195
850320	851200
850320	851201
850320	851203
850320	851206
850320	851208
850320	851210
850320	851220
850320	851222
850320	851225
850320	851226
850320	851244
850320	851248
850320	851252
850320	851254
850320	851259
850320	851264
850320	851265
850320	851266
850320	851279
850320	851284
850320	851314
850320	851322
850320	851325
850320	851334
850320	851335
850320	851336
850320	851338
850320	851347
850320	851361
850320	851369
850320	851376
850320	851389
850320	851394
850320	851411
850320	851412
850320	851415
850320	851419
850320	851426
850320	851432
850320	851455
850320	851460
850320	851466
850320	851468
850320	851476
850320	851477
850320	851478
850320	851479
850320	851484
850320	851485
850320	851487
850320	851495
850320	851498
850320	851504
850320	851507
850320	851508
850320	851509
850320	851511
850320	851512
850320	851514
850320	851515
850320	851532
850320	851539
850320	851549
850320	851550
850320	851560
850320	851562
850320	851575
850320	851589
850320	851595
850320	851611
850320	851631
850320	851633
850320	851636
850320	851643
850320	851651
850320	851659
850320	851692
850320	851708
850320	851716
850320	851733
850320	851757
850320	851785
850320	851810
850320	851812
850320	851817
850320	851819
850320	851820
850320	851824
850320	851835
850320	851865
850320	851887
850320	851890
850320	851898
850320	851928
850320	851934
850320	851956
850320	851959
850320	851963
850320	851967
850320	851988
850320	851990
850320	851992
850320	852000
850320	852006
850320	852013
850320	852020
850320	852026
850320	852039
850320	852042
850320	852058
850320	852061
850320	852062
850320	852063
850320	852064
850320	852065
850320	852066
850320	852072
850320	852080
850320	852082
850320	852092
850320	852093
850320	852096
850320	852097
850320	852098
850320	852109
850320	852111
850320	852122
850320	852131
850320	852142
850320	852179
850320	852181
850320	852187
850320	852191
850320	852206
850320	852209
850320	852211
850320	852221
850320	852222
850320	852230
850320	852242
850320	852253
850320	852254
850320	852256
850320	852273
850320	852277
850320	852283
850320	852284
850320	852285
850320	852287
850320	852294
850320	852295
850320	852296
850320	852302
850320	852310
850320	852314
850320	852323
850320	852335
850320	852337
850320	852362
850320	852369
850320	852376
850320	852379
850320	852383
850320	852385
850320	852387
850320	852388
850320	852392
850320	852393
850320	852403
850320	852406
850320	852412
850320	852415
850320	852417
850320	852419
850320	852422
850320	852434
850320	852444
850320	852448
850320	852450
850320	852451
850320	852454
850320	852469
850320	852472
850320	852479
850320	852485
850320	852487
850320	852492
850320	852494
850320	852522
850320	852532
850320	852545
850320	852546
850320	852559
850320	852564
850320	852565
850320	852566
850320	852571
850320	852572
850320	852580
850320	852592
850320	852594
850320	852620
850320	852625
850320	852626
850320	852636
850320	852644
850320	852646
850320	852649
850320	852650
850320	852652
850320	852662
850320	852664
850320	852672
850320	852675
850320	852676
850320	852686
850320	852689
850320	852694
850320	852697
850320	852710
850320	852715
850320	852717
850320	852720
850320	852730
850320	852742
850320	852750
850320	852751
850320	852772
850320	852775
850320	852779
850320	852785
850320	852793
850320	852801
850320	852804
850320	852806
850320	852826
850320	852852
850320	852853
850320	852870
850320	852882
850320	852890
850320	852891
850320	852898
850320	852911
850320	852916
850320	852921
850320	852922
850320	852925
850320	852945
850320	852946
850320	852963
850320	852969
850320	852971
850320	852975
850320	852976
850320	852977
850320	853010
850320	853015
850320	853035
850320	853036
850320	853037
850320	853050
850320	853051
850320	853111
850320	853115
850320	853116
850320	853117
850320	853121
850320	853122
850320	853123
850320	853124
850320	853128
850320	853146
850320	853147
850320	853159
850320	853163
850320	853173
850320	853175
850320	853178
850320	853201
850320	853202
850320	853219
850320	853238
850320	853248
850320	853249
850320	853255
850320	853260
850320	853262
850320	853266
850320	853269
850320	853273
850320	853290
850320	853301
850320	853303
850320	853305
